Country,Confirmed,Deaths,Recovered,Active,New_cases,New_deaths,Deaths_100_Cases,Recovered_100_Cases,Deaths_100_Recovered,Confirmed_last_week,1_week_change,1_week_%_increase,WHO_Region
Moldova,23154.0,748.0,16154.0,6252.0,120.0,13.0,3.23,69.77,4.630432091122941,21115.0,2039.0,9.66,Europe
Monaco,116.0,4.0,104.0,8.0,0.0,,3.45,89.66,3.8461538461538463,109.0,7.0,6.42,Europe
Mongolia,289.0,0.0,222.0,67.0,1.0,0.0,0.0,76.82,0.0,287.0,2.0,,Western Pacific
Montenegro,2893.0,45.0,809.0,2039.0,94.0,2.0,1.56,27.96,5.562422744128554,2188.0,705.0,32.22,Europe
Morocco,20887.0,316.0,16553.0,4018.0,609.0,3.0,1.51,79.25,1.9090195130792003,17562.0,3325.0,18.93,Eastern Mediterranean
Mozambique,1701.0,11.0,0.0,1690.0,32.0,0.0,0.65,0.0,0.0,1507.0,194.0,12.87,Africa
Namibia,1843.0,8.0,101.0,1734.0,68.0,0.0,0.43,5.48,7.920792079207921,1344.0,499.0,37.13,Africa
Nepal,18752.0,48.0,13754.0,4950.0,139.0,3.0,0.26,73.35,0.3489893849062091,17844.0,908.0,5.09,South-East Asia
Netherlands,53413.0,6160.0,6920.0,40333.0,419.0,1.0,11.53,0.35,89.01734104046243,52132.0,1281.0,2.46,Europe
New Zealand,1557.0,22.0,1514.0,21.0,1.0,0.0,1.41,97.24,1.453104359313078,1555.0,2.0,0.13,Western Pacific
Nicaragua,3439.0,108.0,2492.0,839.0,0.0,0.0,3.14,72.46,4.333868378812198,3147.0,292.0,9.28,Americas
Niger,1132.0,69.0,1027.0,36.0,0.0,0.0,6.1,90.72,6.718597857838364,1105.0,27.0,2.44,Africa
Nigeria,41180.0,860.0,18203.0,22117.0,648.0,2.0,2.09,44.2,4.724495962204032,37225.0,3955.0,10.62,Africa
North Macedonia,10213.0,466.0,6920.0,2827.0,127.0,6.0,4.56,54.48,6.734104046242774,9249.0,964.0,10.42,Europe
Norway,9132.0,255.0,8752.0,125.0,15.0,0.0,2.79,95.84,2.9136197440585008,9034.0,98.0,1.08,Europe
Oman,77058.0,393.0,57028.0,19637.0,1053.0,9.0,0.51,74.01,0.6891351616749667,68400.0,8658.0,12.66,Eastern Mediterranean
Pakistan,274289.0,5842.0,241026.0,27421.0,1176.0,20.0,2.13,87.87,2.4238049007161053,266096.0,8193.0,3.08,Eastern Mediterranean
,61442.0,1322.0,35086.0,25034.0,1146.0,28.0,2.15,57.1,3.767884626346691,54426.0,7016.0,12.89,Americas
Papua New Guinea,62.0,0.0,11.0,51.0,0.0,0.0,0.0,17.74,0.0,19.0,43.0,226.32,Western Pacific
Paraguay,4548.0,43.0,2905.0,1600.0,104.0,2.0,0.95,63.87,1.4802065404475044,3748.0,800.0,21.34,Americas
,389717.0,18418.0,272547.0,98752.0,13756.0,575.0,4.73,69.93,6.757733528529024,357681.0,32036.0,8.96,Americas
Philippines,82040.0,1945.0,26446.0,53649.0,1592.0,13.0,2.37,32.24,7.354609392724798,68898.0,,19.07,Western Pacific
Poland,43402.0,1676.0,32856.0,8870.0,337.0,5.0,3.86,75.7,5.101046992938885,40383.0,3019.0,7.48,Europe
Portugal,50299.0,1719.0,35375.0,13205.0,135.0,2.0,3.42,76.33,4.859363957597173,48771.0,1528.0,,Europe
Qatar,11424.0,165.0,106328.0,-95069.0,292.0,0.0,0.15,97.02,0.15518019712587466,107037.0,2560.0,2.39,Eastern Mediterranean
Romania,45902.0,2206.0,25794.0,17902.0,1104.0,19.0,4.81,56.19,8.552376521671706,38139.0,7763.0,20.35,Europe
Russia,816680.0,13334.0,602249.0,201097.0,5607.0,85.0,1.63,73.74,2.214034394411614,776212.0,40468.0,5.21,Europe
Rwanda,1879.0,5.0,975.0,899.0,58.0,0.0,0.27,65.13,0.5128205128205128,1629.0,250.0,15.35,Africa
Saint Kitts and Nevis,17.0,0.0,15.0,2.0,0.0,0.0,0.0,88.24,0.0,17.0,0.0,0.0,Americas
Saint Lucia,24.0,0.0,22.0,2.0,0.0,0.0,,91.67,0.0,23.0,1.0,4.35,Americas
Saint Vincent and the Grenadines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,50.0,2.0,4.0,
San Marino,699.0,42.0,657.0,0.0,0.0,0.0,6.01,93.99,6.392694063926941,699.0,0.0,0.0,Europe
Sao Tome and Principe,865.0,14.0,734.0,117.0,2.0,0.0,1.62,84.86,1.9073569482288828,746.0,119.0,15.95,Africa
Saudi Arabia,0.0,2760.0,0.0,-2760.0,1993.0,27.0,1.03,,0.0,253349.0,15585.0,6.15,
Senegal,9764.0,194.0,6477.0,3093.0,,3.0,1.99,66.34,2.995213833564922,8948.0,816.0,9.12,Africa
Serbia,24141.0,543.0,0.0,23598.0,411.0,9.0,2.25,0.0,0.0,,2888.0,13.59,Europe
Seychelles,114.0,0.0,39.0,75.0,0.0,0.0,0.0,34.21,0.0,108.0,6.0,5.56,Africa
Sierra Leone,1783.0,,1317.0,,0.0,0.0,3.7,73.86,,1711.0,72.0,4.21,Africa
Singapore,50838.0,27.0,45692.0,5119.0,469.0,0.0,0.05,89.88,0.05909130701216843,48035.0,2803.0,5.84,Western Pacific
Slovakia,2181.0,28.0,1616.0,537.0,2.0,0.0,1.28,74.09,1.7326732673267329,1980.0,201.0,10.15,Europe
Slovenia,2087.0,116.0,1733.0,238.0,5.0,0.0,5.56,83.04,6.693594922100404,1953.0,134.0,6.86,Europe
Somalia,3196.0,,1543.0,,18.0,0.0,2.91,76.63,,3130.0,66.0,2.11,Eastern Mediterranean
South Africa,0.0,7067.0,0.0,-7067.0,7096.0,298.0,1.56,,0.0,373628.0,78901.0,21.12,
South Korea,14203.0,300.0,13007.0,896.0,28.0,1.0,2.11,91.58,2.3064503728761436,13816.0,387.0,2.8,Western Pacific
South Sudan,2305.0,46.0,1175.0,1084.0,43.0,1.0,2.0,65.13,3.9148936170212765,2211.0,94.0,,Africa
Spain,272421.0,28432.0,150376.0,93613.0,0.0,0.0,10.44,55.2,18.907272437091024,264836.0,7585.0,2.86,Europe
Sri Lanka,2805.0,11.0,2121.0,673.0,23.0,0.0,0.39,75.61,0.5186232909005186,2730.0,75.0,2.75,South-East Asia
Sudan,11424.0,720.0,5939.0,4765.0,39.0,3.0,6.3,51.99,12.123253072907897,10992.0,432.0,3.93,Eastern Mediterranean
Suriname,1483.0,24.0,925.0,534.0,44.0,1.0,1.62,62.37,2.5945945945945943,1079.0,404.0,37.44,Americas
,79395.0,5700.0,0.0,73695.0,398.0,3.0,7.18,0.0,0.0,,1347.0,1.73,Europe
Switzerland,34477.0,1978.0,30900.0,1599.0,65.0,1.0,5.74,89.62,6.401294498381876,33634.0,843.0,2.51,Europe
Syria,674.0,40.0,0.0,634.0,24.0,2.0,5.93,0.0,0.0,522.0,152.0,29.12,Eastern Mediterranean
Taiwan*,462.0,7.0,1514.0,-1059.0,,0.0,,95.24,0.4623513870541612,451.0,11.0,2.44,Western Pacific
Tajikistan,7235.0,60.0,6028.0,1147.0,43.0,1.0,0.83,83.32,0.9953550099535502,6921.0,314.0,4.54,Europe
,509.0,21.0,183.0,305.0,0.0,0.0,4.13,35.95,11.475409836065573,509.0,0.0,0.0,Africa
Thailand,3297.0,58.0,3111.0,128.0,6.0,0.0,1.76,94.36,1.8643522982963678,3250.0,47.0,1.45,South-East Asia
Timor-Leste,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,,24.0,0.0,0.0,South-East Asia
Togo,2328.0,18.0,1026.0,1284.0,6.0,0.0,2.06,69.45,1.7543859649122806,783.0,91.0,11.62,Africa
,0.0,8.0,0.0,-8.0,1.0,0.0,5.41,,0.0,137.0,11.0,8.03,
Tunisia,1455.0,50.0,1157.0,248.0,3.0,0.0,3.44,79.52,4.32152117545376,1381.0,74.0,5.36,Eastern Mediterranean
Turkey,227019.0,5630.0,210469.0,10920.0,919.0,17.0,2.48,92.71,2.674978262832056,220572.0,6447.0,2.92,Europe
US,4290259.0,148011.0,1325804.0,2816444.0,56336.0,,3.45,30.9,11.16386735897614,3834677.0,455582.0,11.88,Americas
Uganda,2328.0,2.0,986.0,1340.0,13.0,0.0,0.18,87.41,0.2028397565922921,1069.0,59.0,5.52,Africa
Ukraine,67096.0,1636.0,37202.0,28258.0,835.0,11.0,2.44,55.45,4.397613031557443,60767.0,6329.0,10.42,Europe
United Arab Emirates,59177.0,345.0,52510.0,6322.0,264.0,1.0,0.58,88.73,0.6570177109122072,57193.0,1984.0,,Eastern Mediterranean
United Kingdom,301708.0,45844.0,1437.0,254427.0,688.0,7.0,15.19,0.48,3190.257480862909,296944.0,,1.6,Europe
Uruguay,1202.0,35.0,951.0,216.0,10.0,1.0,2.91,79.12,3.680336487907466,1064.0,,12.97,Americas
Uzbekistan,21209.0,121.0,11674.0,9414.0,678.0,5.0,0.57,55.04,1.0364913482953573,17149.0,4060.0,23.67,Europe
Venezuela,15988.0,146.0,9959.0,5883.0,,4.0,0.91,62.29,1.4660106436389198,12334.0,3654.0,29.63,Americas
Vietnam,431.0,0.0,365.0,66.0,11.0,0.0,0.0,84.69,0.0,,47.0,12.24,Western Pacific
West Bank and Gaza,10621.0,78.0,3752.0,6791.0,152.0,2.0,0.73,35.33,2.0788912579957355,8916.0,1705.0,19.12,Eastern Mediterranean
Western Sahara,10.0,1.0,8.0,1.0,0.0,,10.0,80.0,12.5,10.0,0.0,0.0,Africa
Yemen,1691.0,483.0,20875.5,-19667.5,10.0,4.0,28.56,49.26,2.313717036717683,1619.0,72.0,4.45,Eastern Mediterranean
Zambia,4552.0,140.0,2815.0,1597.0,71.0,1.0,3.08,61.84,4.9733570159857905,3326.0,1226.0,36.86,Africa
Zimbabwe,2704.0,36.0,542.0,2126.0,192.0,2.0,1.33,20.04,6.642066420664207,1713.0,991.0,57.85,Africa
